#第36回(令和6年度)
OS|コンピュータ全体を管理するソフトウェアで，カーネルと呼ばれる制御プログラムと，言語プロセッサやサービスプログラムなどで構成されているもの。|["GUI","デバイスドライバ","ゲートウェイ"]
直流電流を通さず，交流電流を通す機能や，蓄電や放電を行うことで電圧を安定させる。|コンデンサの機能の説明として，適切なもの。|["家庭や企業に送られる交流電流を，直流電流に変換する。","直流電流をスムーズに流すが，交流電流に対しては抵抗のように働く。","変換された直流電流を，任意の周波数や電圧に変更し交流電流に戻す。"]
不正行為が表面化して気づかれないように，少額な金銭を数多くの回数にわたって繰り返し窃取する方法。|コンピュータ犯罪の手口の一つであるサラミ法の説明として，適切なもの。|["コンピュータによる大量のアクセスによって，スパムコメントの書き込みなど悪意ある攻撃をする方法。","ターゲットの製品に，問題を引き起こしそうなデータを大量に送り込み，その応答や挙動を監視することで未知の脆弱性をつく方法。","セキュリティゲートを通過する際，許可されていない人も同時に侵入する方法。"]
Python|クラスや関数，条件文などのコードブロックの範囲はインデントと呼ばれる字下げが仕様として定義されている，オブジェクト指向のプログラム言語。人工知能やデータ分析などでも使用されている。|["JavaScript","Java","Perl"]
2030年までに生物多様性の失われている状況をくい止め，反転させ，自然を回復させる活動。|ネイチャーポジティブの説明として，適切なもの。|["絶滅のおそれのある野生動植物の保護をはかることを目的とし，野生動植物の国際取引の規制を輸出国と輸入国とが協力して実施する条約。","従来の3Rの取組に加え，資源投入量や消費量を抑えながら，廃棄物の発生抑止などを目指し，資源や製品を循環的に利用し，付加価値を最大化する経済活動。","地球サミットで結ばれた気候変動枠組条約に基づいて開催される締約国会議において，先進国の温室効果ガス排出量について，法的拘束力のある数値目標を各国ごとに設定した国際的合意。"]
#第35回(令和5年度)
フォーマット|初期化とも呼ばれ，ハードディスクなどの記憶媒体を利用できるようにするための作業。|["アップロード","インストール","ダウンロード"]
フルコントロール|ファイルやディレクトリなどに対して，読み書きや削除など，すべての操作が許可されたアクセス権限。|["変更","書き込み","読み取り"]
単体テスト|プログラムを検証する方法の一つで，モジュールごとに，正しく機能するか検証を行う方法。|["システムテスト","結合テスト","回帰テスト"]
ゼロトラストセキュリティ|「何も信頼しない」ことを前提とし，守るべき情報資産へのアクセスに対して，すべて信用せず，安全性を検証することで，情報資産への脅威を防ぐ情報セキュリティの考え方。|["IPS(Intrusion Prevention System)","ペリメータセキュリティ","IDS(Intrusion Detection System)"]
司会者とは異なり，中立的な立場で参加者に発言を促したり，会議の流れを整理したりする。|会議や研修を行う際のファシリテータの役割として，適切なもの。|["専門分野の議論に対してのみ，適切な助言を行う。","自らのスキルや知識などを活用して，利害関係にある相手と交渉しながら合意形成を目指す。","発言権や決定権はないが，会議に参加することができる。"]
コンピュータとディジタルビデオカメラなどの家電と接続し，ブロードキャスト転送モードをもつ，シリアルインタフェース。|IEEE1394の説明として，適切なもの。|["5Gビット/秒のデータ転送モードをもつ，シリアルインタフェース。","1Gビット/秒のスループットをもつ，インタフェース。","コンピュータと周辺機器を接続する，パラレルインタフェース。"]
ワークシェアリング|従業員の雇用維持や雇用機会増加を図るために，従業員一人あたりの勤務時間や業務分担などを見直す考え方。|["同一労働同一賃金","ジョブ型雇用","メンバーシップ型雇用"]
本人拒否率と，他人受入率の両方とも許容範囲内になるよう勘案して装置を調整する。|システム担当者が，生体認証システムを導入する際に考慮しなければならない事項として，適切なもの。|["市区町村の窓口で，公的個人認証サービスの電子証明書を取得する。","バックアップとしての生体認証データを，複数登録できないようにする。","身体的な特徴のため，体調や照明などの環境によって認証結果が変わるようにする。"]
自動列車制御装置|リアルタイムシステムを，ハードリアルタイムシステム，ファームリアルタイムシステム，ソフトリアルタイムシステムの三つに分類した際，ハードリアルタイムシステムに該当するもの。|["気象観測システム","Web会議システム","座席予約システム"]
四捨五入などの端数処理を行うことによって発生する誤差。|丸めによって生じる誤差の説明として，適切なもの。|["加減算をした結果が0に非常に近くなった際，有効桁数が減ることによって発生する誤差。","極端に絶対値の差が大きい数値同士の加減算をした際，絶対値の小さい数値が無視されてしまうことによって発生する誤差。","コンピュータの計算処理を途中で打ち切ることによって発生する誤差。"]
Shift_JISは，ASCIIコードに加え，半角カタカナは1バイト，漢字などの全角文字は，2バイトで表現できる。|コンピュータで使用されている文字コードの説明として，適切なもの。|["UTF-8は，世界中の文字の全てを2バイトで表現したもの。漢字などは，基本的に2バイトで表現できる。","ASCIIコードは，アルファベットや数字，記号などを表現したものであり，漢字も表現できる。","UTF-16は，ASCIIコードに加え，世界中の文字を加えたもの。漢字などは，基本的に3バイトで表現できる。"]
現実世界の情報にバーチャルな視覚情報を加えることで，現実を仮想的に拡張する技術。|Augmented Realityの説明として，適切なもの。|["ゴーグルとヘッドフォンなどを着用することで，現実世界から完全に遮断し，バーチャルな世界でリアルに近い体験ができる技術。","専用のゴーグルを装着することで，現実世界と仮想世界を密接に融合し，バーチャルな世界をリアルに感じられる技術。","過去に録画された映像を視聴することで，その時代のその場所にいるかのような感覚が得られる技術。"]
整列されたデータを二つのグループに分け，探索している要素がどちらのグループにあるかの判断を，繰り返し行って探索する手法。|データを探索する時に使用する二分探索の説明として，適切なもの。|["大量のデータを統計学や人工知能などの分析手法を駆使して，傾向や相関関係，パターンなどを導き出すための技術や手法。","データを特定のアルゴリズムによって，固定長の探しやすい値に変換し，その値を使って探索する手法。","利用者が探索したい意図をコンピュータが正しく解釈し，それに即した探索結果を提供するという概念や手法。"]
ipconfig|Windowsにおける，TCP/IPネットワーク設定情報を確認するときに使用するコマンド。|["dir","tree","chkdsk"]
#第34回(令和4年度)
アップデート|ソフトウェアの機能追加や不具合の修正などを行い，最新の状態にすること。|["アップロード","アンインストール","フィルタリング"]
シェアウェア|機能や起動回数などに制限があり，その制限を解除して使用する場合は代金の支払いが必要なソフトウェア。|["サイトライセンス","フリーウェア","OSS"]
GIF|Webページ上のアイコンやイラストなどに使われる，256色まで取り扱えるファイル形式。|["JPEG","MPEG","PDF"]
アウトソーシング|企業が自社の業務の一部を外部の専門業者に委託すること。専門業者に仕事を任せることで，自社にはない高度な知識と技術が活用できたり，自社内の人的資源の有効活用につなげたりすることができる。|["コンプライアンス","シンクライアント","アライアンス"]
負荷テスト|コンピュータシステムに大量のデータを処理させたり，アクセスを集中させたりすることで，実際の業務に耐えられるかを検証するためのテスト。|["退行テスト","機能テスト","回帰テスト"]
ゲートウェイ|主にOSI参照モデルのトランスポート層以上の階層で，異なるLANシステム相互間の接続をする場合に，プロトコルの変換を行う機器。|["リピータ","ブリッジ","ルータ"]
SDGs|国連サミットで加盟国の全会一致で採択された，2030年までに持続可能でよりよい世界を目指す国際目標を示す言葉として，適切なもの。|["SDK","SSD","SSL"]
平均修復時間が短くなれば，平均故障間隔が変わらなくても，システムの稼働率は向上する。|ある1台のシステムの稼働率に関する記述のうち，適切なもの。|["平均修復時間が等しければ，平均故障間隔が一定でなくても，システムの稼働率は等しい。","平均故障間隔と平均修復時間の和が等しければ，いつもシステムの稼働率は等しい。","平均修復時間が変わらないとき，平均故障間隔が長くなれば，システムの稼働率は低下する。"]
プロジェクト活動によって，利益もしくは損失の何らかの影響が生じる存在。|プロジェクトに関わるステークホルダの説明として，適切なもの。|["株式を保有する株主のことのみを表す。","組織の内部のみに属していて，組織の外部にいることはない。","プロジェクトに直接参加していて，間接的な関与の人物は含まない。"]
RAID1|RAIDの分類において，ミラーリングにより同じデータを二つのディスクに書き込むことで信頼性を高め，片方のディスクに障害が発生した場合でも，データが失われない方式。|["RAID0","RAID2","RAID3"]
電気エネルギーやコンピュータが出力した電気信号などを，物理的運動に変換する。|アクチュエータの説明として，適切なもの。|["センサや音源などから送られてくる微弱な電気信号を増幅する。","機器やシステムの出力結果を，目標値である出力値と比較して，その結果を入力値へ反映する。","距離，圧力，角度，速度，加速度，温度などを検出し，電気的な情報に変換する。"]
著作権法|プログラムのコード化された表現を保護する法律。なお，プログラム中のアイディアやアルゴリズムは保護の対象にならない。|["特許法","意匠法","商標法"]
大量のデータを人間の脳神経細胞の仕組みを模したシステムで解析することによって，コンピュータ自体がデータに含まれる特徴を学習する技術。|ディープラーニングの説明として，適切なもの。|["コンピュータなどの電子機器と通信ネットワークを利用して実施される，学習や研修などの形態。","組織において，各個人がもつ知識やノウハウを組織全体で共有し，有効活用する仕組み。","複数の学生が集まって，電子情報も印刷物も含めた様々な情報資源から得られる情報を用いて議論を進めていく学習スタイルを可能にする場所。"]
#第33回(令和3年度)
ＨＤＭＩ|テレビとブルーレイレコーダを接続するなど，高精細度の映像と音声データ，制御信号を１本のケーブルで送受信できるインタフェース規格。|["ＲＦＩＤ","ＩｒＤＡ","Ｂｌｕｅｔｏｏｔｈ"]
テストラン|論理的な誤りがないかなどを確認するため，試験用のデータを利用してプログラムを実行すること。|["コンパイル","デバッグ","アセンブル"]
テザリング|スマートフォンなどの機器をアクセスポイントとして設定することで，他の通信機器をインターネットに接続させる機能。|["ＷＥＰキー","クライアントサーバシステム","ＳＳＩＤ"]
ＥＲＰ|企業の経営資源である，ヒト，モノ，カネや情報を一元的に管理して経営判断に活かす手法。|["ＢＰＲ","ＣＲＭ","ＤＦＤ"]
ＰＯＰサーバ|電子メールにおいて，クライアントがメッセージを受信する際に接続するサーバ。|["ＳＭＴＰサーバ","ＮＴＰサーバ","ＤＨＣＰサーバ"]
刑法|正当な目的がなく，無断で他人のコンピュータにおいて実行させる目的で，コンピュータウイルスを作成または配布する行為を処罰の対象とする法律。|["製造物責任法","個人情報保護法","プロバイダ責任制限法"]
パンくずリスト|あるＷｅｂページにおいて，階層構造の上位ページからのリンクを順に並べて，ページの上部などに表示したもので，現在閲覧しているページが，どの階層に属しているかを知らせるもの。|["内部リンク","ウェブアクセシビリティ","サイトマップ"]
プロジェクト全体を管理可能な大きさに細分化して，作業内容を明確にする。|ソフトウェア開発において，ＷＢＳ(Work Breakdown Structure)を使用する目的として，適切なもの。|["棒グラフで計画や進捗を視覚的に表し，作業の開始や終了時点，現時点の進捗を明確にする。","開発費用と開発所要日数がトレードオフの関係にある場合，総費用の最適化を図る。","複数の独立した作業や工程が連続して実施される場合，スケジュールを結合点と矢印と数字で表現し，作業の最適化を図る。"]
26日|ある月の第２月曜日は３の倍数にあたる日にち，かつ第３月曜日は，奇数の日にちである。この月の，第４月曜日の日にち。|["24日","25日","27日"]
サブスクリプション|製品やサービスごとに代金を支払うのではなく，一定期間利用できる権利に対して代金を支払うビジネスモデル。|["モバイル決済","フィンテック","シュリンクフレーション"]
タッチパネルの表面に電界が形成され，タッチした部分の表面の容量の変化をとらえて位置を検出する。|静電容量方式タッチパネルの説明として，適切なもの。|["マトリックス状に並んだ電極スイッチをタッチすることにより，電極の変化をとらえて位置を検出する。","赤外線ビームをタッチすることにより，遮られて起こる赤外線反射の変化をとらえて位置を検出する。","抵抗膜に電圧を加えることで，タッチした部分の電圧の変化をとらえて位置を検出する。"]
ポート番号|ＴＣＰおよびＵＤＰの通信において，プロトコルやプログラムを識別するために指定する番号。|["シーケンス番号","ＭＡＣアドレス","ヘッダー"]
複数のプロトコルに対応しているので，異なるＯＳのサーバ間でもファイルの共有ができる。|ＮＡＳの特徴として，適切なもの。|["サーバとストレージが１対１で直接接続されているので，サーバごとにストレージの占有ができる。","サーバとストレージとの間はデータのやり取りをブロック単位で行うので，応答が速い。","磁気ディスクのファイル領域の断片化を解消し，読み書きの速度の低下や故障の誘発を防止することができる。"]
予定処理時間が最も短いタスクから順に処理を実行する。新しいタスクが実行可能状態になったときに予定処理時間を再評価する。|タスクスケジューリング方式の説明のうち，特定のタスクがＣＰＵ資源の割当てを待ち続ける可能性が最も高いもの。|["各タスクの優先度を決めて，優先度が高い順に実行する。ＣＰＵ割当てまでの待ち時間が長いタスクの優先度を徐々に上げていく。","各タスクを実行可能待ち行列に置かれた順に実行する。ＣＰＵ割当てから一定時間が経過したら実行を中断し，実行可能待ち行列の最後尾に加える。","予定処理時間に関わりなく，タスクがシステムに到着した順に実行可能待ち行列の最後尾に加え，常に実行可能待ち行列の先頭のタスクにＣＰＵ割当てをする。"]
#第31回(令和元年度)
インターネットバンキング|インターネットを介して残高照会，振込，振替などの銀行取引を行うサービス。|["オンラインショッピング","電子発注システム","ＰＯＳシステム"]
ＯＮＵ|光回線を用いた通信において，光信号を電気信号に変換するための装置。|["ＣＡＴＶモデム","ＯＣＲ","ＯＭＲ"]
ファンチャート|ある基準時点の値を100％として，他の時点と基準時点の値を変動率に換算して描画した折れ線グラフ。|["パレート図","散布図","パート図"]
20倍|数値を格納するレジスタに正の整数ｘを設定した後，レジスタの値を２ビット左にシフトして，ｘを加え，さらに２ビット左にシフトする操作を行うと，レジスタの値は元のｘの何倍になるか。ただし，あふれ(オーバーフロー)は，発生しないものとする。|["５倍","10倍","16倍"]
耐久性(Durability)|トランザクションがコミットされた時点でその変更が永続的なものとなり，結果が失われないことを保証する特性。|["原子性(Atomicity)","一貫性(Consistency)","独立性(Isolation)"]
ハッシュタグ|ＳＮＳなどにおいて，投稿された記事を分類し検索を容易にするために，言葉やフレーズの先頭に「#」を付加したもの。|["サーチエンジン","ユーザＩＤ","パスワード"]
電源が一時的または継続的に遮断されることに起因するデータの破損を防ぐ。|ＵＰＳの導入によって期待できる，情報セキュリティ対策としての効果。|["サーバと各装置間の通信を暗号化することで情報漏えいを防ぐ。","ＰＣが電力線通信(ＰＬＣ)からマルウェアに感染することを防ぐ。","組織内で個人が外部から持ち込んだ機器が，ネットワークに接続されることを防ぐ。"]
自動車製造会社が，販売店によるサービスなどから収集されるデータをもとに，商品の分析や改善，新商品の開発を行う。|ビッグデータを企業が活用している事例に関する記述のうち，最も適切なもの。|["自社の取引先が公表している財務諸表を用いて，売上高総利益率や商品回転率を計算する。","社員の人事異動のために，人事情報から勤務年数や取得資格を抽出する。","コールセンターへの問合せに対し，企業内に登録された顧客情報から連絡先を抽出する。"]
外部設計|入出力画面や帳票など，利用者側の視点で設計を行うシステム開発工程。|["内部設計","プログラム設計","プログラミング"]
コンストラクタ|プログラム言語Ｊａｖａにおいて，インスタンス生成時に主に初期値の設定のために実行される，クラス名と同一の特別なメソッド。|["オーバーライド","オーバーロード","カプセル化"]
導入されているソフトウェアの持つ機能をコンポーネント化し，それらを組み合わせることによってシステムを構築する概念のこと。|ＳＯＡ(Service Oriented Architecture)を説明したもの。|["技術やノウハウを持たない企業が，本来の業務に専念するために，社内業務の一部を外部に委託すること。","生産効率や収益性を革新的に改善させるために，既存の業務内容や組織構造，ビジネスルールを再設計すること。","営業活動の生産性を向上させるために，情報技術を活用して顧客情報や営業の進捗度を管理する概念のこと。"]
#第30回(平成30年度)
ブルーレイディスク|直径12ｃｍの光ディスクであり，波長が約400ｎｍのレーザー光を使うことで大容量のデータの書き込みを可能にした，片面１層で約25ＧＢの記録メディア。|["ＣＤ","ＤＶＤ","フラッシュメモリ"]
フリック|タッチパネル上で，指を弾くようにスライドする動作。|["クリック","ダブルクリック","ピンチイン"]
個人情報保護法|個人情報の適正な取り扱いに関し，基本となる事項や個人情報を取り扱う事業者の遵守すべき義務などを定めることにより，個人の権利や利益を保護することを目的とする法律。|["不正アクセス禁止法","サイバーセキュリティ基本法","プロバイダ責任制限法"]
営業でない社員は，１年目の社員ではない|ある会社の社員の中で次のことが判明しているとき，確実にいえるのはどれか。・１年目の社員は営業である。・２年目以降の社員の中にも営業はいる。|["営業は，１年目か２年目の社員である","営業でない社員は，２年目の社員ではない","１年目でない営業の社員は，２年目の社員である"]
情報落ち|有効桁数が定められている演算処理において，絶対値の大きい数と絶対値の小さい数の加減算の結果，絶対値の小さい数が無視される現象。|["打切り誤差","桁落ち","丸め誤差"]
機会，動機，正当化|「不正のトライアングル」理論において，全て揃ったときに不正が発生すると考えられている３要素。|["機密性，完全性，可用性","顧客，取引，競合他社","アカウンティング，株主，ディスクロージャー"]
最後に参照されてから最も長い時間が経過したブロック|置換アルゴリズムにおけるＬＲＵ方式で，置換えの対象になるブロック。|["一定時間参照されていないブロック","参照頻度の最も低いブロック","読み込んでから最も長い時間が経過したブロック"]
メッセージの形式|ＥＤＩを実施するための情報表現規約で規定されるべきもの。|["誤りチェックの形式","システムの可用性","取引の契約項目"]
パイプ|ＵＮＩＸなどのＯＳにおいて，あるコマンドの標準出力を，直接別のコマンドの標準入力につなげる機能。|["ジョブ","ブレース展開","リダイレクト"]
JIS Q 27001に基づき，企業や団体などが構築した情報セキュリティマネジメントシステムの適合性を評価する。|ＩＳＭＳ適合性評価制度を説明したもの。|["ISO 9001に基づき，企業や団体などが構築した品質マネジメントシステムの適合性を評価する。","ISO 14001に基づき，企業や団体などが構築した環境マネジメントシステムの適合性を評価する。","JIS Q 15001に基づき，個人情報に適切な保護措置を講じる体制を整備している企業や団体などを認定する。"]
オンラインショップなどで，販売機会が少ない商品でも色やサイズなどを幅広く取り揃えることで，全体の売り上げを増やす戦略。販売機会損失のリスクを減らす効果もある。|ロングテールを説明したもの。|["あるものを評価するとき，プラスまたはマイナスの要因があると，そのほかの評価要因に対してもプラスやマイナスの影響を与えてしまう心理効果。","一般に２:８という法則として知られ，上位２割の売れ筋商品で企業全体の売上の８割が構成される，または，全不良原因の上位２割の品質不良が，損失額の８割の原因である法則。","事業継続計画のことで，非常事態が発生しても重要業務が中断しないこと。また，事業活動が中断した場合でも，速やかに重要な機能を再開させ，業務中断に伴う損害を最小限にするための計画。"]
Ｂ社ＷｅｂサーバにアクセスしようとするＡ社社員|Ａ社，Ｂ社の各社員は自社のＤＮＳキャッシュサーバを利用して名前解決を行っている。Ａ社のＤＮＳキャッシュサーバに，Ｂ社のＷｅｂサーバのＦＱＤＮに対応するＩＰアドレスとして，攻撃者が用意したサーバＣのＩＰアドレスが記憶された。この攻撃によって，意図せずサーバＣに誘導されてしまうのは次のうちどれか。|["Ａ社ＷｅｂサーバにアクセスしようとするＡ社社員","Ａ社ＷｅｂサーバにアクセスしようとするＢ社社員","Ｂ社ＷｅｂサーバにアクセスしようとするＢ社社員"]
