enjoy |【動】を楽しむ
carry out |（計画・約束など）を実行する
come from |の出身である；に由来する
do one's best |最善［全力］を尽くす
get off |（乗り物）を降りる（⇔get on （乗り物）に乗る）
give up |（を）あきらめる；（を）やめる
go doing |～しに行く
go to sleep |寝入る
hand in |（書類など）を提出する
have a good time |楽しく過ごす（≒enjoy oneself）
hear from |（人）から便りがある（⇔write to （人）に便りを出す）
hear of |のうわさを聞く，について聞き知る
look after |の世話をする（≒take care of →1390）
look for |を探す
look forward to |を楽しみに待つ
look like |に似ている；のように見える
look out for |に注意する
make friends （with） |（と）親しくなる，友達になる
make it |うまくいく，成功する；（乗り物などに）間に合う
put away |を片づける；を取っておく
put on |（衣服・靴・帽子など）を着る，身につける
run after |を追いかける
run away （from） |（から）逃げる
see ... off |（人）を見送る
speak to［with］ |（人）と話をする；（人）に話しかける
take［have］ a walk |散歩する
take off |（衣服・靴・帽子など）を脱ぐ；（飛行機などが）離陸する
take part in |に参加する（≒join →13）
take time （to do） |（～するのに）時間がかかる
after school |放課後（に）
all day （long） |一日中
all the time |いつも；その間ずっと
at first |最初は，初めのうちは
at last |ついに，やっと（≒finally）
at the age of A（＝at age A） |A歳で
at the same time |同時に
before long |間もなく（≒soon →188）
by the way |ところで
day after day |来る日も来る日も
face to face （with） |（と）面と向かって；（に）直面して
for a long time |長い間
for example［instance］ |例えば
for free |ただで，無料で（≒for nothing →1411）
for oneself |（他人に頼らず）自分で
for the first time |初めて
from ... on |...以降ずっと
here and there |あちこちで［に，を］
in the future |将来（⇔in the past 過去に →1685）
in time （for） |（に）間に合って
more than |...以上，を超えて（≒over →183）
next to |の隣に
of course |もちろん
on one's［the］ way （to） |（へ行く）途中で
on time |時間どおりに，定刻に
one by one |1つ［1人］ずつ
over and over （again） |何度も
over there |向こうに［で］
side by side |並んで；一緒に
a lot of （＝lots of） |たくさんの
as soon as ... |...するとすぐに
plenty of |たくさんの
respect |【動】を尊敬する（≒look up to →1159）
admire |【動】を賞賛する，に感嘆する
accept |【動】を受け入れる（⇔refuse を拒否する →1234）
support |【動】を支持する；を支える
share |【動】を共有する；を分け合う
recommend |【動】を推薦する
challenge |【動】に挑戦する
create |【動】を創造する
pray |【動】祈る
treat |【動】を扱う；を治療する
feed |【動】に食べ物［えさ］を与える
hug |【動】を抱き締める
surround |【動】を囲む，取り囲む
reply |【動】返事をする；応じる；と答える
control |【動】を管理する，支配する；を制御する；を抑制する
check |【動】を点検する，確かめる
examine |【動】を調べる；を検査する
observe |【動】を観察する；に気づく
preserve |【動】を保護する（≒protect →1379）；を保存する；を保つ
complete |【動】を完成させる，終える
perform |【動】（を）演じる，上演［演奏］する；を実行する
act |【動】行動する；（を）演じる
hide |【動】を隠す；隠れる
disappear |【動】見えなくなる（⇔appear 現れる →1222）
bear |【動】に耐える；（重さ・負荷）を支える；（子）を産む
protest |【動】抗議する；異議を唱える
destroy |【動】を破壊する（⇔construct を建設する）
reflect |【動】を映し出す；を反射する；を熟考する
melt |【動】溶ける；を溶かす
flow |【動】流れる
spread |【動】を広げる；を広める；広がる
aid |【動】を援助する
repair |【動】を修理する；を修復する
press |【動】（を）押す；（を）押しつける
suit |【動】（人）に似合う；（人）に都合がよい
shape |【名】形；状態；体調
form |【名】形；用紙
percent |【名】パーセント
total |【名】合計
bit |【名】少し，少量
billion |【名】十億
base |【名】土台；基礎（≒basis）；基地
success |【名】成功（⇔failure 失敗）
stage |【名】段階；舞台
instrument |【名】楽器；道具
scene |【名】場面；現場；光景【派】scenery【名】風景，景観
image |【名】イメージ，印象
secret |【名】秘密；秘訣
mystery |【名】謎，神秘；推理小説
truth |【名】真実，本当のこと
reality |【名】現実（の物）
religion |【名】宗教
tradition |【名】伝統；しきたり
origin |【名】起源
population |【名】人口
memory |【名】記憶（力）；思い出
note |【名】メモ，覚え書き；注釈
relationship |【名】関係（≒relation →1579）
cooperation |【名】協力
power |【名】力；能力；権力；エネルギー
strength |【名】力；強さ
courage |【名】勇気
pressure |【名】重圧；圧力
area |【名】地域，区域（≒region 地帯）；領域
direction |【名】方向；方針；（～s）指示；説明書
countryside |【名】田舎
hero |【名】英雄，ヒーロー；（男性の）主人公（⇔heroine ヒロイン；（女性の）主人公）
enemy |【名】敵（⇔friend 味方）
accident |【名】事故；不測の事態；偶然
purpose |【名】目的，意図
bottom |【名】下部，底（⇔top →152）
waste |【名】無駄，浪費；ごみ；廃棄物
board |【名】板；掲示板；委員会
serious |【形】深刻な；まじめな；本気の
crazy |【形】夢中で；ばかげた；正気でない
evil |【形】邪悪な
familiar |【形】熟知している；よく知られている；親しい
personal |【形】個人の，個人的な
official |【形】公式の；職務（上）の
perfect |【形】完全な，完璧な（⇔imperfect 不完全な）
correct |【形】正しい（⇔incorrect 不正確な，false間違った →459）；適切な
basic |【形】基本的な，重要な
major |【形】主要な；大きい方の（⇔minor 重要ではない；小さい方の →457）
dirty |【形】汚れた（⇔clean →105）
fresh |【形】新鮮な；新しい
tough |【形】困難な；頑丈な
flat |【形】平らな；（価格が）一律の；空気の抜けた
precious |【形】貴重な，大切な；高価な
rare |【形】まれな，珍しい（⇔common 普通の，ありふれた →1527）
normal |【形】普通の；標準の
ordinary |【形】普通の；ありふれた
various |【形】さまざまな，多様な
native |【形】生まれた土地の；その土地固有の
tiny |【形】とても小さな（⇔huge →355）；わずかな
huge |【形】巨大な（≒enormous，⇔tiny →354）；莫大な
vast |【形】広大な；莫大な
empty |【形】空の（⇔full →173），空いている
single |【形】たった1つ［1人］の；個々の；独身の
silent |【形】黙っている；静かな
clear |【形】はっきりした；澄んだ；晴れた
direct |【形】直接の（⇔indirect 間接の）；直通の；率直な
rapid |【形】急速な；素早い
convenient |【形】便利な，都合のよい（⇔inconvenient 不便な）
ideal |【形】理想的な
appreciate |【動】を感謝する；（...のよさ）を認める
recover |【動】回復する；を取り戻す
trust |【動】を信頼する，信用する
doubt |【動】...ではないと思う；を疑う
attack |【動】を襲う（⇔defend を防御する →496）；を攻撃する，非難する
disturb |【動】を邪魔する；（平穏など）を乱す
express |【動】を表現する
exhibit |【動】を展示する；（感情・能力など）を出す
search |【動】捜す；（場所など）を捜索する
explore |【動】を探検する；を探究する
remind |【動】に思い出させる
hunt |【動】狩りをする；を狩る；を探し求める
release |【動】を解放する；を初公開する
belong |【動】属する
supply |【動】を供給する（≒provide →1459）
shut |【動】を閉める，閉じる（⇔open →3）
knock |【動】ノックする；を打つ；ぶつかる
hang |【動】を掛ける，つるす
lift |【動】を持ち上げる
locate |【動】を位置づける
compare |【動】を比べる；を例える
compete |【動】競う
exchange |【動】を交換する；を両替する
shake |【動】を振る；揺れる
fix |【動】を修理する；（を）固定する
adopt |【動】（考え・提案など）を採用する；を養子にする
establish |【動】を設立［創立］する（≒found）；を確立する
print |【動】を印刷する
occur |【動】起こる（≒happen →1223）；心に思い浮かぶ
freeze |【動】凍る；を凍らせる
float |【動】浮かぶ（⇔sink 沈む →500）；漂う
burn |【動】を燃やす，焦がす；燃える；焦げる
bury |【動】を埋める；を埋葬する
apologize |【動】謝る
dig |【動】を掘る；を掘り出す
capture |【動】を捕まえる；を捕らえる
stick |【動】くっつく；を貼りつける；を固定する；を突き刺す
cycle |【名】周期；循環
background |【名】背景
spirit |【名】精神，心（⇔body 肉体）；魂
thought |【名】考え
theory |【名】理論（⇔practice 実践 →818）；説；学説
theme |【名】テーマ，主題（≒subject →1019，topic →1586）
concept |【名】概念
method |【名】方法
poison |【名】毒；害悪
harm |【名】害，危害；不都合
harmony |【名】調和，一致
combination |【名】組み合わさったもの；結合
tool |【名】手段；道具
sample |【名】見本，試供品
depth |【名】深さ；奥行き
honor |【名】光栄；名誉；敬意
pleasure |【名】喜び，楽しみ
shadow |【名】（人・物の）影
shade |【名】陰，日陰
type |【名】型，タイプ
pattern |【名】パターン，型；模様，図柄
sort |【名】種類
trick |【名】いたずら；たくらみ；手品；トリック
middle |【名】（位置・時間・出来事などの）中間，真ん中（≒center →1577）
address |【名】住所；演説
level |【名】水準，レベル；程度；水平面
heat |【名】熱；熱さ；暑さ；熱意
ceremony |【名】式典，儀式
event |【名】行事；出来事
statue |【名】像
rhythm |【名】リズム
hunger |【名】飢え
schedule |【名】予定（表）；時刻表；時間割
legend |【名】伝説（的人物）
pioneer |【名】先駆者；開拓者
smart |【形】頭のよい，賢い（≒clever →1325）
honest |【形】正直な；率直な
pure |【形】純粋な
funny |【形】おかしな，滑稽な；奇妙な
severe |【形】ひどい，深刻な；厳しい
violent |【形】乱暴な
private |【形】私的な，個人的な（⇔public 公の →1610）；私立の；秘密の
vivid |【形】鮮やかな
sharp |【形】鋭い；とがった；急な
dull |【形】くすんだ（⇔bright →77）；鈍い（⇔clever 利口な →1325）；退屈な
smooth |【形】滑らかな，すべすべした（⇔rough ざらざらした）；平らな；円滑な
wet |【形】ぬれた，湿った（⇔dry 乾燥した →1618）
raw |【形】生の（⇔cooked 調理された）；加工［処理］されていない
central |【形】中心（部）の；中心的な
remote |【形】離れた；遠い
complex |【形】複雑な；複合（体）の
classical |【形】クラシックの；古典的な
standard |【形】標準の
regular |【形】定期的な；規則正しい（⇔irregular 不規則な）；通常の；普通サイズの
chief |【形】最高（位）の；主要な
minor |【形】小さい方の；重要ではない（⇔major →343）
weak |【形】弱い（⇔strong 強い）；不十分な；（味の）薄い
FALSE |【形】間違った（⇔true →90，correct →341）；本物でない，偽の
plain |【形】わかりやすい；明白な
equal |【形】等しい，同等の；平等の
excellent |【形】すばらしい；優秀な
fantastic |【形】とてもすばらしい；空想的な
instant |【形】即席の；即時の
quick |【形】素早い（⇔slow →177），即座の
double |【形】2倍の；二重の
celebrate |【動】を祝う
copy |【動】の写しをとる，コピーする；をまねる
pull |【動】（を）引く，引っぱる（⇔push →125）
link |【動】を結びつける，関連づける
separate |【動】を区別する；を引き離す
wrap |【動】を包む；を巻く
spell |【動】をつづる
display |【動】を展示［陳列］する（≒exhibit →372）；を示す
respond |【動】返答する；反応する
behave |【動】振る舞う
affect |【動】に影響する；（心が）強く動かされる
arrange |【動】を手配する；を配置する
apply |【動】申し込む；当てはまる；を応用する
consist |【動】成り立つ；ある
gather |【動】を集める（≒collect →785）；集まる
deliver |【動】を配達する；を伝える
settle |【動】を解決する；（に）移り住む；を静める
announce |【動】を発表する；を（大声で）告げる
handle |【動】を扱う，処理する；に手を触れる
load |【動】（荷物）を積む；を詰め込む
pause |【動】休止する，立ち止まる
repeat |【動】を繰り返す，繰り返して言う；を復唱する
count |【動】を数える；重要である
follow |【動】の後について行く；に続く；をたどる；に従う
beat |【動】を打ち負かす；を（連続して）打つ，たたく
strike |【動】を強く打つ，ぶつける；当たる
kick |【動】を蹴る
explode |【動】爆発する；爆発的に増える；を打破する
fight |【動】戦う；けんかする
defend |【動】を防御する（⇔attack →369）
ban |【動】を禁じる
reject |【動】を拒絶する（≒refuse →1234）
blow |【動】（風が）吹く；風で飛ぶ；を吹き飛ばす
sink |【動】沈む（⇔float →395）
figure |【名】数，数字；姿；図
couple |【名】（同種の）2つ，2人；１対，1組；カップル，夫婦
partner |【名】パートナー；仲間
kid |【名】子供
genius |【名】天才；才能，天分
technique |【名】技術，技能
edge |【名】縁；（ナイフなどの）刃
spot |【名】場所；点
department |【名】（大学の）学科，学部；（組織の）部門；売り場；（米・英政府の）省
degree |【名】程度；（温度・緯度などの）度；学位
volume |【名】量，容量；（2冊以上から成る本の）1巻
unit |【名】単位；単元
dozen |【名】1ダース，12
quality |【名】質（⇔quantity →515），品質；（人の）特性
quantity |【名】量（⇔quality →514）
error |【名】誤り
incident |【名】出来事；事件
appeal |【名】訴え，要求
emergency |【名】緊急（事態）
alarm |【名】警報（装置）；目覚まし時計；驚き
trend |【名】流行；傾向，動向
smoke |【名】煙；タバコ
fever |【名】熱，発熱；興奮，熱狂
structure |【名】構造；構造物
trial |【名】試み；試用；裁判
luck |【名】運；幸運
favor |【名】好意；親切な行為
contact |【名】連絡；接触
contest |【名】競技（会），コンテスト
battle |【名】戦闘（≒war 戦争 →1115）；闘争
era |【名】時代（≒age，period →1493）
limit |【名】限度，制限
vision |【名】展望；視力
atmosphere |【名】雰囲気；大気
task |【名】（課せられた）仕事；作業；（学習）課題
joke |【名】冗談
principle |【名】信条；原理
sentence |【名】文；判決；刑
ahead |【副】前方に（⇔behind →199）
nearby |【副】近くに
apart |【副】離れて
forever |【副】永遠に（≒for good （and all） →1672）；いつも
largely |【副】大部分は
mostly |【副】ほとんど，普通は
moreover |【副】さらに，その上
somehow |【副】なんとかして；どういうわけか
altogether |【副】まったく，完全に（≒completely →280）；全体で；概して（言えば）
therefore |【副】したがって，それゆえに
however |【副】しかしながら，けれども；どんなに...でも
within |【前】...以内に；...の範囲内に
inside |【前】...の中に［で］（⇔outside →552）
outside |【前】...の外に［で］（⇔inside →551）
throughout |【前】...中ずっと；...の至る所に
beside |【前】...のそばに
beyond |【前】...の向こうに；（限界）を越えた
above |【前】...の上方に；...以上に（⇔below →557）
below |【前】...より下に；...以下の（⇔above →556）
except |【前】...を除いて
per |【前】...につき，あたり
unlike |【前】...とは異なり
be about to do |まさに～しようとしている（≒be just going to do）
be based on［upon］ |に基づいている
be capable of |の能力がある；をしかねない
be faced with |に直面している
be fond of |が好きである（≒like →1244）
be good at |が上手である
be good for |に適している；に役に立つ
be in need of |を必要としている
be independent of |から独立［自立］している（⇔be dependent on［upon］ に依存している）
be made of［from］ |でできている
be rich in |に富んでいる，恵まれている
be short of |が足りない
be suited for［to］ |に適している
be tired of |に飽きる
be true of |に当てはまる
be up to |...次第である；に（至る）まで
be used to |に慣れている
be willing to do |～してもかまわない，する気がある
above all |とりわけ，何よりも
according to |によれば；に従って
across from |の向かい側［反対側］に
after all |結局（は）；やはり
all the way （from） |（から）はるばる，ずっと
along with |と一緒に，に加えて
at a time |1度に
at random |手当たり次第に，無作為に
at times |時々（≒sometimes →1347）
because of |のために，の理由で（≒due to →591，on account of →1690）
by accident［chance］ |偶然（に）（⇔on purpose 故意に →603）
by way of |...経由で（≒via）
due to |のために，が原因で（≒because of →588）；に支払われるべき
except for |を除いては
first of all |まず第1に
for one thing |1つには
from time to time |時々（≒sometimes →1347）
in a hurry |急いで
in favor of |に賛成して，を支持して
in place of A（＝in A's place） |Aの代わりに
in return （for） |（の）お返しに
in short |要するに
in spite of |にもかかわらず（≒despite）
in the long run |長い目で見れば（⇔in the short run 短期的には）
on purpose |故意に，わざと（⇔by accident［chance］ →589）
out of the question |論外で，不可能で
some time |いつか；しばらく（の間）
thanks to |のおかげで
these days |近ごろ（は）
upside down |逆さまに
a large［good / great］ number of |たくさんの
a series of |一連の，一続きの
a sort［kind］ of |一種の
and so on［forth］ |...など（≒etc.）
as ... as one can（＝as ... as possible） |できるだけ...
as［so］ long as ... |...する限り［間］は
not A but B |AではなくてB
not only A but （also） B |AだけでなくBも（≒B as well as A →1435）
of one's own |（名詞を後ろから修飾して）自分自身の；特有の
such A as B（＝A such as B） |BのようなA
the first time ... |初めて...する［した］とき（に）
when it comes to |のこととなると，に関しては
parent |【名】親
grandparent |【名】祖父，祖母
husband |【名】夫（⇔wife →624）
wife |【名】妻（⇔husband →623）
twin |【名】双子（の1人）
relative |【名】親戚
cousin |【名】いとこ
ancestor |【名】先祖（⇔descendant 子孫）
engineer |【名】技師
clerk |【名】店員
officer |【名】警官（＝police officer）；役人
editor |【名】編集者
artist |【名】芸術家；画家
director |【名】監督；管理者
actor |【名】俳優
merchant |【名】商人
nurse |【名】看護師；保育士
business |【名】仕事，商売；務め
career |【名】経歴；職業
job |【名】仕事
labor |【名】労働；労働者（階級）
work |【名】仕事，任務；勉強；作品
hire |【動】を雇う（≒employ →1072，⇔fire を解雇する）；を賃借りする
retire |【動】退職する，引退する
expert |【名】専門家
leader |【名】指導者，リーダー
professor |【名】教授
principal |【名】校長
mayor |【名】市長
queen |【名】女王；王妃
prince |【名】王子，皇太子（⇔princess 王女，皇太子妃）
servant |【名】召使い，使用人（⇔master 主人 →1016）
library |【名】図書館
bank |【名】銀行；土手；川岸
hall |【名】玄関（の広間）；廊下；会館
apartment |【名】アパート
museum |【名】博物館，美術館
theater |【名】劇場
stadium |【名】競技場；野球場
temple |【名】寺院；神殿
shrine |【名】神社
castle |【名】城
palace |【名】宮殿
tower |【名】塔
shelter |【名】避難所，収容所；住まい
studio |【名】スタジオ；仕事場
avenue |【名】大通り，...街
block |【名】1区画；大きな塊
corner |【名】曲がり角；角
intersection |【名】交差点（≒crossing）
path |【名】小道
slope |【名】坂道
square |【名】（四角い）広場；正方形
market |【名】市場
traffic |【名】交通（量）
route |【名】経路；道
drive |【動】車を運転する；を駆り立てる
ride |【動】（に）乗る
sail |【動】航海する；出航する
railroad |【名】鉄道（＝【英】railway）
subway |【名】地下鉄（＝【英】underground）
vehicle |【名】乗り物，輸送機関；伝達手段
automobile |【名】自動車
engine |【名】エンジン
wheel |【名】車輪
port |【名】港
airport |【名】空港
canal |【名】運河
flight |【名】航空便，フライト；飛行
entrance |【名】入り口；入学
key |【名】かぎ
floor |【名】床；階
ceiling |【名】天井
closet |【名】物置，クロゼット
stair |【名】階段
ladder |【名】はしご
roof |【名】屋根
garden |【名】庭，庭園
yard |【名】庭；囲い地
lawn |【名】芝生
housework |【名】家事
plate |【名】皿；（1皿分の）料理
refrigerator |【名】冷蔵庫
garbage |【名】生ごみ，ごみ
trash |【名】ごみ，くず
dust |【名】ほこり，ちり
brush |【名】ブラシ，はけ
shower |【名】シャワー；にわか雨
clock |【名】掛け時計，置き時計
shelf |【名】棚
vase |【名】花瓶
blanket |【名】毛布
domestic |【形】家庭の；国内の（⇔foreign →165）
neighbor |【名】隣人；隣国
fashion |【名】流行
design |【動】をデザイン［設計］する
style |【名】（流行の）型，スタイル；様式
formal |【形】正式な；形式的な（⇔informal）
tight |【形】きつい（⇔loose →720）
loose |【形】ゆるい（⇔tight →719）
wear |【動】を身につける；をすり減らす，使い古す
dress |【動】に服を着せる；服を着る
costume |【名】衣装
tie |【動】を結ぶ；を縛る
button |【名】ボタン
ring |【名】指輪
jewel |【名】宝石
needle |【名】針
sew |【動】を縫う
wallet |【名】財布
mobile |【形】移動［可動］式の
portable |【形】持ち運びできる，携帯用の
feather |【名】羽，（～s）羽毛
fur |【名】毛皮
silk |【名】絹，絹糸
cotton |【名】綿
leather |【名】革
glass |【名】グラス；ガラス；（～es）眼鏡
crystal |【名】水晶，クリスタル製品
plastic |【形】プラスチック（製）の，ビニール（製）の
meal |【名】食事
supper |【名】夕食
snack |【名】おやつ；軽食
dessert |【名】デザート
appetite |【名】食欲
diet |【名】ダイエット；食事
chopstick |【名】（～s）箸
drink |【動】を飲む
swallow |【動】を飲み込む
bite |【動】（を）かむ，（に）かみつく
flavor |【名】味；風味
delicious |【形】おいしい
sweet |【形】甘い
bitter |【形】苦い
sour |【形】酸っぱい
recipe |【名】調理法，レシピ；秘訣
cook |【動】（を）料理する
mix |【動】を混ぜる；混ざる
pour |【動】を注ぐ；（it poursで）（雨が）激しく降る
fry |【動】を油で揚げる
boil |【動】をゆでる，煮る；を沸かす
bake |【動】（パンなど）を焼く
harvest |【名】収穫；収穫期
crop |【名】作物，収穫物
fruit |【名】果物
vegetable |【名】野菜
meat |【名】肉
grain |【名】粒；穀物
wheat |【名】小麦
bean |【名】豆
honey |【名】はちみつ
herb |【名】ハーブ，薬草
salt |【名】塩
reserve |【動】を予約する
cancel |【動】を取り消す，中止にする（≒call off →1383）
menu |【名】メニュー
choice |【名】選択
service |【名】サービス；公益事業
tip |【名】チップ，心づけ
culture |【名】文化
hobby |【名】趣味
amusement |【名】娯楽
entertain |【動】を楽しませる
adventure |【名】冒険；予期せぬ出来事
collect |【動】を集める
cartoon |【名】風刺漫画
comic |【名】漫画本
photograph |【名】写真
film |【名】【英】映画（＝【米】movie）
magic |【名】手品；魔法
travel |【名】旅行
trip |【名】旅行
tour |【名】周遊旅行，ツアー
journey |【名】旅行
voyage |【名】船旅；（空・宇宙の）旅
sightseeing |【名】観光
guide |【名】ガイド，案内人；案内書
passenger |【名】乗客
vacation |【名】休暇
camp |【名】キャンプ；合宿
souvenir |【名】土産，記念品
record |【名】記録
score |【名】得点，スコア
prize |【名】賞
award |【名】賞，賞金
victory |【名】勝利（⇔defeat 敗北）
win |【動】（競技など）に勝つ（⇔lose →94）
race |【名】競争，レース；人種；民族
match |【名】試合；競争相手；適合性
tournament |【名】トーナメント，勝ち抜き試合
professional |【形】プロの，職業的な
judge |【名】審判；裁判官
athlete |【名】運動選手；スポーツマン
coach |【名】コーチ，指導員；長距離バス
rival |【名】ライバル，競争相手
train |【動】を訓練する
exercise |【動】運動する；を鍛える
practice |【動】（を）練習する
indoor |【形】屋内の（⇔outdoor 屋外の）
nature |【名】自然；性質
temperature |【名】温度，気温；体温
wind |【名】風
breeze |【名】そよ風
storm |【名】嵐
thunder |【名】雷，雷鳴
fog |【名】霧
wave |【名】波
sunlight |【名】日光
sunset |【名】日没（⇔sunrise 日の出）
continent |【名】大陸
ocean |【名】大洋
island |【名】島
ground |【名】地面
peak |【名】山頂；最高点
cave |【名】洞穴
bay |【名】湾
beach |【名】浜，砂浜
coast |【名】海岸，沿岸
shore |【名】岸
horizon |【名】（the ～）地平線，水平線
valley |【名】谷，盆地
stream |【名】小川；流れ
spring |【名】泉；春；ばね
desert |【名】砂漠
sand |【名】砂；（～s）砂地
mud |【名】泥，ぬかるみ
rock |【名】岩
soil |【名】土，土壌；農業
environment |【名】（自然）環境
recycle |【動】を再生処理する，リサイクルする
pollution |【名】汚染，公害
disaster |【名】大災害
earthquake |【名】地震
flood |【名】洪水
species |【名】種
creature |【名】生き物；動物
wildlife |【名】野生動物
bark |【動】ほえる
breed |【動】（動物など）を繁殖させる；を育てる
insect |【名】昆虫
plant |【名】植物；工場；施設
wood |【名】木材；（～s）林，森
bush |【名】茂み；低木
branch |【名】枝；支店
root |【名】根
trunk |【名】幹；（旅行用の）トランク
grass |【名】草
leaf |【名】葉
seed |【名】種
human |【形】人間の
person |【名】人，人物
people |【名】人々；国民；民族
crowd |【名】群衆，人混み
generation |【名】世代
male |【形】男性の，雄の（⇔female →876）
female |【形】女性の，雌の（⇔male →875）
fellow |【名】仲間；やつ
life |【名】人生；生涯
birth |【名】誕生，出産（⇔death 死 →1264）
childhood |【名】子供時代
youth |【名】青年時代；若者；若さ
teenager |【名】ティーンエージャー
adult |【名】大人，成人
elderly |【形】年配の
dead |【形】死んでいる（⇔alive 生きている →1305）；（電気器具などが）機能しない
physical |【形】身体の，肉体の（⇔mental 心の →952）；物質の；物理学の
health |【名】健康（状態）
condition |【名】状態，状況
weight |【名】体重；重さ
