ハブ|LANにおけるネットワークケーブルを一つに接続する(まとめる)集線装置のこと。|["接続機器","中継機器","配線集中機","回線集約機","配線ハブ","集線ボックス"]
プログラミング|プログラム設計の結果を受けて、プログラム言語を用いて実際にプログラムを作成(コーディング)する開発工程。|["コーディング","コード化","プログラム作成","作成プログラム","プログラム製作","製作プログラム"]
テスト|開発者だけでなくユーザも参加して、完成されたプログラムの検証を行うこと。|["検証","確認","評価","チェック","試運転","運転試験"]
単体テスト|個々のプログラム(部品）が、仕様書の要求どおりに機能しているかを確認するテスト。|["個別試験","試験個別","単独テスト","テスト単独","部品テスト","テスト部品"]
結合テスト|複数のモジュール(部品)を組み合わせて、モジュール間でデータの受け渡しが設計どおりに行われているかなどを確認するテスト。|["連結試験","試験連結","統合テスト","テスト統合","モジュールテスト","テストモジュール"]
システムテスト|開発したシステム全体が、設計どおりの機能を備えているかを確認するテスト。|["包括試験","試験包括","全体テスト","テスト全体","完成テスト","テスト完成"]
保守・管理|開発したシステムで、実際の業務中で生じた問題点を修正する作業、システムを効率的に稼働させるための業務。|["メンテナンス","運用","維持","運営","管理運転","運転管理"]
ブラックボックステスト|プログラムが仕様を満たしているかを確認するために、プログラムの内部構造には着目しないで、データ入力に対する出力結果に注目するテスト。|["出力試験","試験出力","非開示テスト","テスト非開示","ブラックテスト","テストブラック"]
ホワイトボックステスト|プログラムの内部構造や処理の流れに着目し、プログラムが設計通りに動いているかを確認するテスト。|["構造試験","試験構造","開示テスト","テスト開示","ホワイトテスト","テストホワイト"]
RASIS|コンピュータシステムに関する評価指標で、信頼性、可用性、保守性、完全性(保全性)、安全性(機密性)の５項目の英文字の頭文字を組み合わせた用語。|["ROSER","RARID","LAWSA","SKHKA","LOSER"]
信頼性|システムの故障発生が少ないこと。|["安定性","堅牢性","頑健性","故障回避性","耐障害性"]
可用性|一定期間にシステムが正常に使える時間の割合が長いこと。|["稼働率","利用率","アクセス容易性","参照容易性","応答性"]
保守性|故障の際の修復時間が短いこと。|["修繕性","保全性","管理性","点検性","整備性"]
完全性(保全性)|データの矛盾が起きないように、その整合性を維持すること。|["正当性","適正性","整合性","一貫性","誤り回避性"]
安全性(機密性)|不正に情報を持ち出したりすることから守ること。|["秘匿性","非公開性","セキュリティ","防護性","アクセス制限性"]
稼働率|コンピュータシステムが、一定時間内で正常に動作している時間の割合(確率)。|["稼働確率","動作確率","可用時間率","稼働時間率","アップタイム"]
平均故障間隔(MTBF)|コンピュータシステムが故障してから復旧し、次に故障するまでの平均時間。|["平均故障回数","故障発生周期","故障間欠時間","故障回避期間","信頼性指標"]
平均修復時間(MTTR)|コンピュータシステムが故障してから、完全に復旧するまでの平均時間。|["平均修理時間","平均回復時間","復旧期間","修理期間","保守性指標"]
