インタプリタ|ソースコードを、1命令ずつ解釈して実行するプログラム
標的型攻撃|官公庁や企業などの特定の組織をターゲットとし、メール件名を受信者の業務に関連するようなものにし偽装し、ウィルスを仕込んだ添付ファイルを実行させたり、ウィルスを仕込んだWebサイトに誘導したりする攻撃。
水飲み場攻撃|標的が他攻撃の一種。組織内でよく使用されるサイトにウィルスを仕込むものです。
DOS(Dental of Serive)|特定のサーバに大量のパケットを送りつけることで想定以上の府かを与え、サービスを妨害する。
DDoS|複数のコンピュータを使って攻撃すること
クロスサイトスプリクティング|Webページに入寮した内容をそのまま表示する部分がある場合、ページないに悪意のスクリプトを埋め込み、利用者と標的のサーバに被害を与える攻撃
SQLインジェクション|サーバに悪意のある入力データを与え、本来意図されたものとは異なる命令文を生成して、データの改竄や権限のないデータ取得を行う攻撃。
セッションハイジャック|Webサーバとクライアントかんで、性気乗りいよう車道シが通信を行っている最中に、悪意のある第三者がその利用者になり済まして、通信を乗っとる攻撃。
バッファオーバーフロー|プログラムが用意している入力用データ領域を越えるサイズのデータを入力することで、想定外の動作をさせる攻撃です。
セキュリティホール|ソフトウェアの設計ミスなどで生じたセキュリティ上の欠陥のこと。セキュリティパッチと呼ばれる修正プログラムを反映させていく必要がある。
ゼロデイ攻撃|ソフトウェアに脆弱性が存在することが判明したとき、ソフトウェアの修正プログラムがベンダから提供される前に、判明した脆弱性を利用して行われる攻撃。
辞書攻撃|パスワードの割り出しや暗号の解読を行うために、辞書にある単語を大文字と小文字を混在させたり数字を加えたりすることで、生成した文字列を手当たり次第に試みる攻撃です。
ブルートフォースアタック|総当たり攻撃。考えられるすべての文字の組み合わせを試みる攻撃
パスワードリスト攻撃|ユーザがIDやパスワードを複数のサービスで使い回しがちなことを悪用したもの
ポートスキャン|TCP/IPのプロトコルのポート番号を順番に変えながらサーバにアクセスし、侵入口となりうる脆弱なポートがないかどうかを調べる攻撃
IPスプーフィング|送信するパケットの送信元IPアドレスを偽りのものにすること。
ファイアウォール|防火壁。外部からの不正アクセスを防ぐ
パケットフィルタリング|パケットを震いにかける。ファイアフォールを通過するパケットのヘッダ情報を解析し、許可されたパケットだけを通過させる。
検疫ネットワーク|社内LANに接続されるPCを、まずウィルスチェック用のネットワークに自動的に接続し、検査確認してから、社内LANに繋ぐことで、外部からのウィルス持ち込みを
VPN(Virtual Private Network)|専門線のように接続
DMZ|インターネットなどの外部ネットワークと内部ネットワークの両方から隔離されたゾーンのこと。非武装地帯
ペネトレーションテスト|システムを実際に攻撃して、ファイアウォールや公開サーバに対するセキュリティホールや設定ミスの有無を確認するテスト
公開鍵暗号方式|鍵を公開する暗号方式不特定多数の相手からデータを受けとるのに向いている。アルゴリズムが複雑なので暗号/複合するのに処理時間がかかる。
セション鍵暗号方式|通信ごとに生成する暗号化のための共通鍵を、公開鍵を使って暗号化して通信相手に送付する方式。
ディジタル署名|電子文章を作成したのが本人であることを証明でき、成り済まし対策として効果的な技術。送信者の秘密鍵で暗号かし、送信者の公開鍵で複号化を行う。
ハッシュ化|ハッシュ関数という関数を使用し、電子文書から短い文字列データを作成することです。
PKI(Public Key Infrastructure)|公開鍵基盤。公開暗号鍵を基盤として、暗号化や署名、ディジタル署名を行う仕組みの総称のこと。なりすましやデータの登頂、改竄を防ぐための基盤となる。
SSL|公開鍵暗号や八種関数、ディジタル署名などの技術を応用した情報を暗号かして送受信するプロトコルで、通信内容の登頂や改竄を防止することができる。クレジットカード番号と卯気密性の高い情報を安全に送受信できる。
httls|完全性、機密性、認証
S/MINE|電子メールの暗号化の技術
DBMS(データベース管理システム)|データベースを複数の利用者で共有利用できるように管理するソフトウェア。データベース定義、データベース操作(検索、更新)、データベース制御
集合演算|同じ列で構成される2つの表から新しい表を取り出す演算
和演算|2つの表にあるすべての行を取り出す。同じ行はひとつにまとめる
積演算|2つの表に共通している行を取り出す。
差演算|一方の表から他方の表の行を取り除く。
関係演算|ある特定の条件したがって新た強い表を取り出す演算。
選択(Selection)|表の中から、特定の条件に合致した行を取り出す
射影(Projectioon)|表の中から、特定の条件に合致した列を取り出す
結合(Join)|複数の表から、共通している列を通じて新た強い表を作る。
再編成処理|データベースにたいして、追加更新削除が繰り返されると、データ格納一夜削除領域が利用できない状態になったりします。これを修復、アクセス性能を向上してくれる処理。
データウェアハウス|企業の様々な活動を介して得られた大量おデータを時系列に整理統合してch、意思決定支援などに利用するデータベース。
データマート|データウェアハウスに格納されたデータの一部を、特定の用途や部門用に抽出したデータベース。
BIツール|Business Intelligenceツールの略で、データウェアハウスに集められたデータを分析しやすくするために用意されたもの。専門知識がない利用者でも用意に操作でき、
ビッグデータ|サーバのログや売上げデータ、購入履歴、GPSやRFIDの利用者、SNSのコメントなどこれらを分析することで新たな価値を産み出そうとします。
データマイニング|大量のデータを分析し、検索だけでは発見できないような隠れた規則や創刊関係を導きだす技術。
正規化|2次元の表を作るときに、必要な項目を整理して複数の表に分割すること。データの重複や矛盾を排除する
排他制御|データの不整合を防ぐために、処理中のデータに対して他からのアクセスを制御する機能
デッドロック|排他制御の不備により、複数ユーザがかけた占有ロックの解除を互いに待ってしまい、処理が止まってしまう現象
ジャーナルファイル|更新前と更新後の更新履歴ファイル
ロールフォワード|バックアップファイルと更新後ジャーナルで復旧
ロールバック|更新前ジャーナルで復旧
レプリケーション|別のサーバにリアルタイムでデータをコピーする技術
トランザクション|データベース更新時の処理単位
アルゴリズム|与えられた問題を有限の時間で解決するための手順
フローチャート|アルゴリズムを記号を用いて記述したもの
構造化プログラミング|プログラムがいくつかのサブプログラムで構成されるような、分割できるような構造となるように作る手法。順次、選択、繰り返し。
木構造|階層の上位から下位に接点をたどることによって、データを取り出すことができる構造
キュー|格納した順序でデータを取り出すことができる構造。先入れ先出し
スタック|格納した順序でデータを取り出すことができる構造。後入れ先出し法
リスト|データポインタ部で構成されるセルをたどることによって、データを取り出すことができる。
配列|同じ型のデータを連続的に並べ、配列名と添字を使ってデータを取り出すことができる構造。
アセンブラ|機械語とほぼ1対1に対応した命令で表す言語
COBOL|事務処理用言語
C|もともとはUNIXのシステム記述用言語
C++|C言語にオブジェクト指向の概念を取り入れた言語
Java|インターネトや分散システムで使用されるオブジェクト指向型言語
Perl|CGI上で動作するスクリプト言語
オブジェクト言語|データとメソッドと呼ばれる手続きを一体化(カプセル化)したもので、データを外部から隠蔽し、メソッドによって処理される。
スクリプト言語|プログラムの記述や実行を比較的簡単に行うことができるプログラム言語の略称。
言語プロセッサ|人間が理解できるプログラム言語で記述したソースコードを、コンピュータが理解できる機械語に翻訳するためのプログラムの総称。
マークアップ言語|文章中にタグを挿入することで、文章の構造を記述できる言語。
情報提供依頼(RFI)|提案依頼書の作成に先立って、考えうる手段や技術動向に関する情報を集めるために提供する資料
提案依頼書(RFP)|ベンダ企業に対し、導入システムの基本方針や提案依頼事項、調達条件を明示し、提案書の提出を依頼するための文書。
NDA(Non Disciosure Agreement)|システム開発などを他社に委託する際に、お互いに知りえた相手方の秘密情報を漏らさないようにする契約。
ウォータフォールモデル|要求定義、システム設計、プログラミング、テストの順に、各工程を順番に進めていく開発技法。
プロトタイピングモデル|システム開発の早い段階から試作品を作成して、利用者の確認を得ながら開発を進めていく開発技法。
スパイラルモデル|独立性の高いサブシステムごとに、分析設計プログラミングテスト評価の開発工程を反復しながら完成度を高めていく開発技法。
RAD|利用者の参画、少人数による開発、開発ツールの活用
アジャイル|システムを迅速に開発するための軽量なソフトウェア開発手法の総称。
リバースエンジニアリング|既存のプログラムを解析して仕様書を作成する開発手法。
ユーザインタフェース|キーボードやディスポ憂いなどの入出力装置、操作方法
CUI|キーボードからコマンドを入力して操作する。
GUI|視覚的に操作するインターフェース
ラジオボタン|複数の項目から1つだけ選ぶ
ユニバーサルデザイン|障害年齢性別国債にかかわらず、だれもが使える設計。
アクセシビリティ|使えない状態から使える状態にするアクセスのしやすさのこと
ユーザビリティ|どれだけ利用者がストレスを感じずに、目標とする要求が達成できる度合い。
チェックディジット|入力誤りや読み取り誤りを検出する
アローダイヤグラム|作業の順序や作業相互の関係を表現したり、重要作業を把握したりするのに適しており、プロジェクトの作業計画などに利用される。
複数の選考作業が存在する場合|すべての選考作業が狩猟してから次の作業を行う
最早開始日|最も遅い作業に合わす
最遅開始日|最も早い作業に合わす
クリティカルパス|最早開始日と最遅開始日が等しい結合点を結んだ経路をクリティカルパスという。一番長い経路になっている。
ガントチャート|作業別に作業内容とその実施期間を棒状に図示したもの。
ITIL(Information Technology Infrastructure Library)|限られた予算内で、情報システムを安定的かつ効果的に運用するマネジメントに関するベストプラクティスを体系化したもの。
サービスデスク|ITサービスの利用者と提供企業の一元的な窓口。
インシデント|ITサービスの品質低下を引き起こす恐れのある出来事
インシデント管理|インシデント発生時に通常の差＾ビスを迅速に復旧させることに重点が置かれる。
問題管理|発生したインシデントや問題の根本的原因を突き止めて、恒久的な解決策を提供することに重点を置く。
CAB(Change advisory board:変更諮問委員会)|変更管理プロセスで変更に伴う様々観点から検証・評価を行い、許可または却下を決定する。許可されればリリース管理及び展開管理プロセスで、変更されたITサービスを本番環境へ実装する。
リリース管理及び展開管理|変更管理されたITサービスを本番環境に展開する。
SLA(Service Level Agreement)|ITサービスの品質に関する利用者と提供者間の合意。
SLM(Service Level Management)|SLAの両社間合意が達成できるように、PDCAサイクルを実施し、ITサービスの維持・工場を図るマネジメント活動のこと。
可用性管理|サービスの利用者が利用したいときに確実にサービスを利用できるよう、ITサービスを構成する個々の機能の維持管理を行う活動。
キャパシティ管理|ITサービスに必要なネットワークやシステムなどの容量・能力を管理し、最適なコストで現在および将来のシステムの安定を実現しようとする活動。
ITサービス継続性管理|地震や火災等の災害発生時に、一定期間内にシステムを復旧し、事業を継続させることを目標とする活動
ITサービス財務管理|ITサービスに係るコストの予測と実際に発生したコストの計算や課金の管理に関する活動。
セキュリティマネジメント|施設や設備の管理
UPS(Uninterruptible Power Supply)|電源の集団に対処したり、停電時にシステムを終了させたりするのに必要な時間だけ電源供給することを目的とした装置。電源異常を検出した後、数分以内にシャットダウンを実施する対策が必要。
システム監査|監査対象とかかわりを持たない第3社が客観的に、情報システムの安全性や信頼性を点検、評価する。
内部監査|企業の監査部門が行う監査
外部監査|第3者機関に依頼して行う監査。
システム評価|システム監査業務の品質を確保し、有効かつ効率的に監査を実施することを目的とした監査人の行為規範をまとめたもの。
監査証拠|システム監査人が監査手続きを実施して収集した資料
監査調書|監査人が行った監査後有無の実施記録で、監査意見表明の根拠となる監査証拠やその他関連資料をまとめたもの。
内容統制|企業自らが業務を適切に遂行していくために、体制を構築して運用する仕組みのこと。
職務分掌|内部統制を行うために、ルールや手続き、チェック体制などの確立や明確化が必要。実際に作業を行う人とそれを承認する人のように役割分担や権限を明確にする。
モニタリング|内部統制が有効に機能していることを継続的に関し・評価するプロセス
IT統制|内部統制の内、情報システムに関するもの
業務処理統制|IT統制の内、各業務が正確に処理されるもの
全般統制|各業務処理統制が有効に機能する統制
業務記述書|個々の業務内容についての手順を文章で示したもの
業務フロー図|業務の流れをフローチャートで示したもの
リスクコントロールマトリスク|想定されるリスクとその対応策を表にしたもの
コンプライアンス|法律を順守してルールを守った企業活動を行うこと。
コーポレートガバナンス|経営管理が適切に行われているかどうかを監視し、ステークホルダー7にたいして、企業活動の正当性を維持する仕組みのこと。
ITガバナンス|コーポレートガバナンスの一つで、企業の競争優位性を確保するために、IT戦略の策定・実行をコントロールし、あるべき方向へ導く仕組みを組織に組み込むこと。
管理会計|企業内部の意思決定や組織統制を目的として、組織分岐点分析や原価管理、予算管理など経営判断のための内部報告書を作成する。
財務会計|会計法気に準拠した会計処理を行い、貸借対照表や損益計算書などの財務諸表を作成する。
ディスクロージャ|企業の経営成績や財務状態を外部に公開する事
自己資本|返さなくてよい資産。純資産。資本金。
他人資本|払わなければいけない負債。手形や買掛金。
流動資産|1年以内に現金にすることができる資産。現金：預金：売掛金：受取手形
固定資産|長い期間にわたって使う資産。不動産や製造機械
流動負債|1年以内に支払わハなくてはいけない負債。買掛金支払手形短期借入金。
固定負債|当面支払わなくてよい夫妻。車載
流動比率|流動負債に対する流動資産を示す指標
固定比率|自己資本と比べて設備投資が過剰でないかを示し、その値が小さいほど安全
先入れ先出し法|先に仕入れた商品から先に出庫するものとみなして計算する方法
移動平均法|商品を仕入れた都度、その時の残高とその商品の購入金額を加算し、それを残量と購入量の合計数量で割って、払い出し単価を求める方法
総平均法|期初在庫の評価額と仕入れた商品の総額との合計を総数量で割り、払い出し単価を求める方法
定量発注方式|在庫が基準を下回ったら一定量を発注する方法。
定期発注方式|一定の間隔で発注する方法で、発注量はまちまち。
減価償却|資産の購入にかかった金額を一定の方法に従って、利用した年度ごとに減価償却費として半分していく。
法定耐用年数|資産の利用可能な年数を法式にしたもの。PCは4年、サーバは5年、ソフトウェア「販売するための原本」及び「研究開発目的」は3年、「その他のもの」は5年と定められている
産業財産権|知的財産権の一部。産業の発展を保護する権利
著作権|文化的な創造物を保護する
特許権|高度な発明を保護
実用新案権|改良などの公安を保護
意匠権|製品のデザインを保護
商標権|商品名やマークなどの商標を保護
ビジネスモデル特許|コンピュータソフトウェアを活用したあら￥たらしいビジネスの仕組みを対象とした特許権
クロスライセンス|特許を有する2社の間で、互いの有する特許の実施権を許諾し合うこと。
トレードマーク|商品について使用する商標
サービスマーク|サービスについて使用する
DRM(Digital Rights Management)|特定のソフトウェア上でしかデータを再生できないようにしたり、コピー回数の制限を設けたりするなどの方法がある。
CPRM|1回だけ複製できるようにしたコピープロテクトの技術。
アクティベーション|ソフトウェアベンダから発行されたプロダクトキーと、ユーザのハードウェア情報をインターネット経由で登録することでライセンスが有効になり、ソフトウェアが使用可能になる。
ボリュームライセンス|ソフトウェアの大量購入者向けに、マスタを提供して、インストールの許諾数をあらかじめ取り決める契約
サイトライセンス|
労働基準法|最低賃金、残業資金、労働時間、休息、休暇など労働条件において最低限守らなければならないことを定めた法律です。1日8時間、週40時間としているが、労使協定を書面で届ければ、じぇん長が可能。6時間を超える勤務には45分、8時間を超える場合は1時間を少なくとも途中で入れる必要がある。
労働契約法|労働者や使用者が、対等のt千葉で労働条件について合意し、労働契約を締結することを定めたもの。
裁量労働制|実際の勤務時間と関係なく自己裁量と自己責任で、あらかじめ決めた時間を働いたとみなす制度。
瑕疵担保責任|請け負った仕事の欠陥に対し、期間を限って責任を負うこと。
請負|請負企業が期限までに決められた価格で成果物を作成し、これに対して発注業者が対価を支払う。
不正競争防止法|事業活動に有用な技術上または営業上の秘密として管理されている情報を保護し、不正な競争を防止する。
営業秘密|①秘密として管理されているもの②生産・販売方法その他の事業活動有利な技術上的は営業上の情報であるもの③公然と知られていないもの
個人情報保護法|個人情報の不適切な取扱いによって、個人の権利利益が侵害されないようにすることを目的とした法律。
公益通報者保護法|所属組織や派遣先企業の重大な犯罪行為を知り、公益のために内部告発した労働者が、解雇などの不当な扱いを受けないように保護する法律。
サイバーセキュリティ基本法|サイバーセキュリティに対する施策の基本理念やセキュリティ戦略を定めたもの。
不正アクセス禁止法|他人のIDやパスワードを無断で処理するなりすまし行為、IDパスワードを無断で第３社に提供する行為、セキュリティーホールを攻撃してPCに侵入する行為
プロバイダ責任制限法|インターネット上で、誹謗中傷や個人の権利が侵害された場合、プロバイダが負う損害賠償責任の範囲や、情報発信者の情報開示請求できる権利を定めた法律。
製造物責任法|製造物の欠陥により、人の生命、身体に係る被害が生じた場合、過失の有無にかかわらず、製造業者等の損害賠償の責任について述べている。
特定商取引法|訪問販売や通信販売など、トラブルが生じやすい取引において、消費者保護のために事業者が守るべきルールを定めたもの。
ISO9000シリーズ|品質を向上させるための経営管理システムを備えた組織を認証する。品質マネジメントシステム
ISO14000シリーズ|環境マネジメントシステムに関する国際規格。環境に配慮した経営管理システムを備えた組織を認証する。
IEEE|米国に本部を持つ電気工学と電子工学に関する学会。
ANSI|米国国内の工業分野の規格を策定する民間の標準化団体。
JISC|日本国内の工業標準化全般に関する審議会。
QC(Quality Control)|品質管理のこと。情報や他部門でも重視されている。
特性要因図|魚の骨のような形、原因と結果の関係を見る
散布図|座標上にプロットした点、２項目間の相関関係を見る
パレート図|棒グラフと折れ線グラフ、重点項目を見る。
ABC分析|ある項目の件数を乞う順に並べた結果、全体に対する比率によって、A群、B群、C群のようにクラス分けをする。
ヒストグラム|区間ごとに棒グラフ、ばらつきを見る
レーダチャート|複数の項目間のバランス
Zグラフ|右上がりなZほど業績が上向き
ポートフォリオ図|２つの評価項目の分布状況
CSR|株主尚のステークホルダーに対して、経営活動の内容、実績に関する責任説明を追うだけでなく、地球環境への配慮やボランティア活動も含まれる。
グリーンIT|PCやサーバ、ネットワークなどの情報通信機器の省エネや資源の有効利用だけでなく、それらの危機を利用することで社会の省エネを推進し、環境を保護していくという考え方。
職能別組織|購買・生産・販売・財務などの仕事の性質によって、部門を構成した組織
事業部制組織|利益責任と後有無遂行に必要な職能を、製品別、顧客別または地域別に持つことによって、自己完結的な経営活動が展開できる組織
カンパニー制|事業部制における各事業部の独立性をさらに高め、社内に子会社が複数存在するような形式とする組織
マトリックス組織|自己の専門とする職能部門と特定の事業を遂行する部門の両方に所属する
プロジェクト組織|特定の課題のもとに各部門から専門家を集めて変性し、期間と目標を定めて活動する一時的かつ柔軟な組織である。
社内ベンチャー|新事業の開発のために社内に独立した活動単位として設置し、小さな企業であるかのように運営する組織
ネットワーク組織|自律性・柔軟性・多元性を有している組織である。企業、部門の壁を越えて変性されることがあり、新たなインベーションを生み出しやすい。
TOB(Take Over Bid)|価格と期間を公告し、不特定かつ多数の株主から株式を買い付けて、経営支配権を獲得する。
MBO(Management Buyout)|子会社や事業部門の経営陣が自社の株式を買い取り、独立します
EBO(Employee Buyout)|経営陣に属さない一般従業員が、自社の株式を買い取り、経営を引き継ぐ
ビット|コンピュータで扱える情報の最小単位
アスキーコード|英数字と特殊文字のみ
シフトJISコード|アスキーコード、仮名が混在可能
EUC|UNIXやLinuxなどで用いられる文字コード。漢字、仮名が使える
UNICODE|世界の文字の多くを一つの体系で表現するコード
ハードウェアの5大装置|制御装置、演算装置、記憶装置、入力装置、出力装置
CPU|中央処理装置、制御装置を演算装置をまとめた呼称
記憶装置|プログラムデータを一時的に記憶する主記憶装置と、長期的に記憶しておく補助記憶装置がある。
マルチコア|CPUの心臓部のこと コアが二つならデュアルコア、4つならクアッドコア
クロック周波数|1秒間にクロックパルスが何回繰り返されるか
クロック周波数の単位|Hz(ヘルツ)
SRUM(Static RAM)|高価、リフレッシュ不要、キャッシュメモリに使用
GPU|画像データに特化した演算装置
メモリ|PCの本体に搭載されている主記憶装置のこと
RAM(Random Access Memory)|電源が消えると記憶内容が消えてしまう揮発性を持つ半導体メモリ
ROM(Read Only Memory)|電源が消えても記憶が残る不揮発性
DRAM(Dynamic RAM)|安価、リフレッシュ必要、メモリに使用
マスクROM|製造時にデータを書き込むとユーザー書き換えできない
PROM(Programming ROM)|製造時にデータ書き込みをしてもユーザが書き換えることができる
EPROM|紫外線でデータ消去して書き換えできる
EEPROM|電気的にデータを消去して書き換えできる
フラッシュメモリ|電気的に全体または一部を消去して書き換えできる記憶保持型のメモリ
キャッシュメモリ|メモリより記憶容量は小さいが、転送速度が速い
補助記憶装置|プログラムやデータを長期的に記憶しておく装置。電源を切っても記憶は消えず、容量が大きい。
シーケンシャルアクセス|データを先頭から順番に読み書きする
ランダムアクセス|データの格納順位に関係なく、データを任意に読み書きする方法
ハードディスク|磁気を読み書きする磁気ディスクの一種
入力装置|文字や数字を入力、位置情報を入力、イメージを入力する装置などに分かれ
RFID|ICチップと、小型アンテナを埋め込んだ荷札汚れに強い、格納できるデータ
NFC|RFIDの国際規格
グラフィクスメモリ|PCのディスプレイに表示する文字や図形などのデータを格納する専用のメモリ
PPM(Page Per Minute)|1分間に印字できるページ数を表す単位
dpi(dot per inch)|プリンタやスキャナの解像度を表す指標
入出力インターフェース|PC本体と周辺機器を接続すりコネクタの形状、データ転送方式などの接続規格
シリアルインターフェース|データを1ビット単位で送信するデータ転送方式
パラレルインターフェース|データを同時に複数ビット単位で送信するデータ転送方式
ホットフラグ|電源を入れたままケーブルの脱着ができる機構
プラグアンドプレイ|ケーブルを差し込むとOSが自動認識し、必要な設定が行われる機能
バスパワー方式|USBのケーブルを介して、必要な電力をPCから供給する方式
シリアルATA|内臓のハードディスクやCD/DVD装置を接続するためのシリアルインターフェース
IrDA|赤外線による無線のインターフェース
デバイスドライバ|OSと周辺機器を仲介する目的で主変機器ごとに用意されるソフトウェア
BIOS|OSの起動前に動作してハードウェアをチェックし、周辺機器の入出力の制御を行う。
グループウェア|電子メール電子掲示板を介したコミュニケーション。共同作業の支援を行うソフトウェア。
プラグイン|ブラウザなどアプリケーションソフトウェアに組み込んで機能を拡張するソフトウェア。
集中処理|1代のホストコンピューターに複数の端末を接続し、ホストコンピューターに集中して処理させる
分散処理|複数のコンピューターを分散して処理する形態
デュプレックスシステム|2組のシステムで構成され、一方のシステムが正常に機能しているときに、他方のシステムが待機状態にある
コールドスタンバイ|現在動作しているシステムに障害発生時、大気系で実行していた処理を中断し、代わりに実行していたオンライン処理プログラムを起動して切り替える。
ホットスタンバイ|現用系のシステムに障害発生時に、に、現用系と同じプログラムをあらかじめ起用している待機系に切り替える
デュアルシステム|2組のシステムで構成され、同じ処理を行い、処理結果を照合することで処理の正しさを確認している。どちらかのシステムに障害が発生した際は、切り離して処理を実行。
ホットサイト|待機系サイトとして稼働させ、ネットワークを介して常時データやプログラムの更新を行い、障害発生時に速やかに業務再開する。
コールドサイト|予備のサイトをあらかじめ確保しておいて、障害発生時に必要なハードウェア、データやプログラムを持ち込み、業務を再開する
ウォームサイト|予備のサイトにハードウェアを用意しておいて、定期的にデータやプログラムを購入して保管しておき、障害発生時にこれら保管物を活用してシステムを復元し、業務再開する。
BCP(Business Continuity Plan)|災害やシステム障害など予期せぬ事態が発生した場合でも、重要な業務の継続を可能とするために事前に策定される行動計画のこと。
BCM(Business Continuity Management)|BCPを策定し、PDCAサイクルで維持向上を図るマネジメント活動。
バッチ処理|データを一定期間あるいは一定量をまとめて処理をする形態。
オンラインリアルタイム処理|ネットワークを通じて端末から処理要求を受け付け、即時に処理をして結果を返す形態です。オンライントランザクション処理とも呼ばれています。
スケールアップ|一つの仮想サーバに割り当てるCPUやメモリを増やすこと。
スケールアウト|仮想サーバの台数を増やして処理を分散させること。
クラスタシステム|複数のハードウェアやシステムをまとめて1つのシステムとして運用するシステム。
NAS(Network Attached Storage)|LANに直接接続される記憶装置で、ファイルサーバとして利用される。ネットワークプロトコルにTCP/IPを用いているため、異なるOSの複数のコンピュータでファイルを共有することができます。
ベンチマークテスト|測定用の標準的な処理を実行させ、処理性能を数値化して、ほかのシステムと比較する。
スループット|単位時間あたりに処理される仕事量
ターンアラウンドタイム|一連の仕事をコンピュータに依頼してから、完全な処理結果を受け取るまでにかかる時間。バッチ処理の評価に使われる。
レスポンスタイム|コンピュータに対して処理の実行を指示してから、利用者端末に最初の処理結果のメッセージが出始めるまでの時間。オンラインリアルタイム処理の評価に使われる。
平均故障間隔(MTBF)|故障と故障の間、稼働している平均時間。平均故障間隔が長いほど信頼性が高い。
平均修復時間(MTTR)|修理している時間の平均時間。平均修復時間が長いほど保守性が高い
直列システムの稼働率|一方の装置が稼働しなくなると、全システムが稼働しなくなる。
並列システムの稼働率|一方の装置が稼働しなくなっても、他方の装置は稼働し続ける。
バスタブ曲線|各装置の故障率と時間の関係をグラフにすると、バスタブのような曲線を描く
初期故障期間|初期導入時には、設計製造の馬具などにより故障率が高くなります。
偶発故障期間|初期呼称の馬具を修正し、故障率がほぼ一定し安定してきます。
予防保守|定期的にシステムをメンテナンスし、故障の前兆をとらえて部品を交換する事。
フォールトアボイダンス|構成部品の信頼性を高めて、故障が起きる確率を下げる技術で、故障をお排除するという考え方です。
フォールトトレランス|システムを構成する重要部品を多重化するなどして故障に備える技術
フェールセーフ|システムの一部が故障したとき、全体に致命的影響を与えないように、あらかじめ定めた安全な状態に移行する。
フェールソフト|システムの一部が故障したとき、機能を低下させてもシステムの運転を継続する。継続重視の考え方。
フールブルーフ|不特定多数の人が捜査しても、誤作動が起こりにくいように設計する。意図していない操作をしても故障しないという考え方。
LAN|
WAN|遠隔地にあるコンピュータ間で高速通信を実現するネットワーク
ブロー|同じ建物の中など、比較的狭い範囲内のコンピュータ間で高速通信を実現するネットワーク
ドバンドルータ|ADSLやFTTHなどの高速回線で使うルータ
リピータ|ケーブル上で減衰した電気信号を再生して中継することで、LANケーブルを延長する。
ブリッジ|受信データのMACアドレスを解析して宛先のコンピュータに転送する。
ハブ|LANケーブルを束ねる無線装置で、接続口である無数のLANポートを備えている。
リピータハブ|受信データをすべてのLANポートに転送してリピータとして機能する。
スイッチングハブ|受信データをあて先MACアドレスが存在するLANポートだけに転送し、ブリッジとして機能する。
